name,total_shipped,genres,themes,game_engines,age_ratings
star wars: the force unleashed,2.77,"['role-playing (rpg)', ""hack and slash/beat 'em up"", 'adventure']","['action', 'fantasy', 'science fiction']",ronin,t
saints row: the third,2.77,"['shooter', 'racing', 'adventure']","['action', 'comedy', 'sandbox', 'open world']",havok,m
tekken 6,3.12,['fighting'],['action'],octave engine,t
sonic and the secret rings,3.0,['platform'],['action'],renderware,e
far cry: primal,2.73,"['shooter', 'adventure']","['action', 'survival', 'historical', 'open world']",dunia engine,m
call of duty 3,2.7,['shooter'],"['action', 'historical', 'warfare']",treyarch ngl,t
burnout 3: takedown,2.68,['racing'],['action'],renderware,t
halo wars,1.0,"['real time strategy (rts)', 'strategy']","['science fiction', 'warfare']",havok physics,t
call of duty 2: big red one,2.67,['shooter'],"['action', 'historical', 'warfare']",treyarch ngl,t
fable,3.0,"['role-playing (rpg)', 'adventure']","['action', 'fantasy', 'historical', 'sandbox']",gamebryo,m
final fantasy xiii-2,2.66,"['real time strategy (rts)', 'role-playing (rpg)', 'adventure']","['fantasy', 'science fiction']",crystal tools,t
madden nfl 18,2.62,['sport'],['non-fiction'],frostbite,e
harry potter and the chamber of secrets,2.61,"['platform', 'adventure']","['action', 'fantasy']",unreal engine,e
god of war collection,2.42,"[""hack and slash/beat 'em up"", 'adventure']","['action', 'fantasy', 'historical']",kinetica,m
dragon age: origins,2.56,['role-playing (rpg)'],"['action', 'fantasy']",eclipse engine,m
midnight club: los angeles,2.5,"['racing', 'arcade']",['open world'],rage,t
marvel: ultimate alliance,2.5,"['role-playing (rpg)', 'adventure']","['action', 'science fiction']",vicarious visions alchemy,t
resistance 2,2.47,['shooter'],"['action', 'fantasy', 'science fiction', 'horror', 'survival', 'historical']",insomniac engine,m
dying light,2.45,"['shooter', 'role-playing (rpg)', 'adventure']","['action', 'horror', 'survival', 'stealth', 'open world']",chrome engine,m
ice hockey,2.42,['sport'],['action'],proprietary engine,e
tom clancy's rainbow six: vegas 2,2.42,"['shooter', 'strategy', 'tactical']","['action', 'warfare']",unreal engine 3,m
halo: combat evolved anniversary,2.41,['shooter'],"['action', 'science fiction', 'warfare']",blam! engine,m
batman: arkham origins,2.4,"[""hack and slash/beat 'em up"", 'adventure']","['action', 'stealth', 'open world']",unreal engine,t
dead island,2.38,"['shooter', ""hack and slash/beat 'em up""]","['action', 'horror', 'survival']",chrome engine,m
half-life 2,12.0,['shooter'],"['action', 'science fiction', 'horror']",source,m
guild wars 2,7.0,"['role-playing (rpg)', 'adventure']",['fantasy'],arenanet guild wars,t
dragon age: inquisition,2.34,"['role-playing (rpg)', 'tactical', 'adventure']","['action', 'fantasy', 'historical']",frostbite 3,m
madden nfl 25,2.33,"['sport', 'tactical']",['non-fiction'],ignite engine,e
james bond 007: everything or nothing,2.31,"['shooter', 'sport', 'adventure']",['action'],id tech 3,t
no man's sky,2.26,"['role-playing (rpg)', 'simulator', 'adventure', 'indie']","['action', 'science fiction', 'survival', 'sandbox', 'open world']",custom built engine,t
paper mario: the thousand-year door,1.91,"['role-playing (rpg)', 'turn-based strategy (tbs)', 'quiz/trivia', 'adventure']","['action', 'fantasy', 'science fiction', 'comedy']",in-house engine,e
madden nfl 15,2.25,"['simulator', 'sport']",['action'],ignite engine,e
dance dance revolution x2,2.23,"['music', 'arcade']",['party'],bemani pc type 4,e10
battlefield v,2.22,['shooter'],"['action', 'historical', 'warfare']",frostbite 3,m
prince of persia: the sands of time,2.22,"['platform', 'adventure']",['action'],jade,t
bioshock 2,2.2,"['shooter', 'puzzle', 'role-playing (rpg)', 'adventure']","['action', 'science fiction', 'thriller']",unreal engine,m
star wars: knights of the old republic,2.19,"['role-playing (rpg)', 'adventure']","['action', 'science fiction']",odyssey,t
need for speed: payback,2.18,"['racing', 'sport']","['action', 'open world']",frostbite 3,t
spyro reignited trilogy,2.17,"['platform', 'adventure']","['action', 'fantasy']",unreal engine 4,e10
scribblenauts,1.0,['puzzle'],"['sandbox', 'educational', 'kids']",objectnaut,e10
sonic unleashed,1.6,"['platform', ""hack and slash/beat 'em up"", 'adventure']",['action'],j2me,e10
the sims: house party,2.16,"['role-playing (rpg)', 'simulator', 'strategy', 'adventure']","['fantasy', 'comedy', 'sandbox', 'romance']",the sims engine,t
need for speed: hot pursuit 2,2.11,['racing'],['action'],eagl,e
dead rising,1.8,"[""hack and slash/beat 'em up"", 'adventure']","['action', 'horror', 'survival', 'comedy', 'sandbox']",mt framework,m
